time,local_time,P_ac
2019-01-01 00:00,2019-01-01 03:00,0
2019-01-01 01:00,2019-01-01 04:00,0
2019-01-01 02:00,2019-01-01 05:00,0
2019-01-01 03:00,2019-01-01 06:00,22450.290
2019-01-01 04:00,2019-01-01 07:00,115759.540
2019-01-01 05:00,2019-01-01 08:00,177460.730
2019-01-01 06:00,2019-01-01 09:00,215963.597
2019-01-01 07:00,2019-01-01 10:00,238682.910
2019-01-01 08:00,2019-01-01 11:00,247523.156
2019-01-01 09:00,2019-01-01 12:00,243320.168
2019-01-01 10:00,2019-01-01 13:00,225888.185
2019-01-01 11:00,2019-01-01 14:00,194168.126
2019-01-01 12:00,2019-01-01 15:00,145847.996
2019-01-01 13:00,2019-01-01 16:00,76738.103
2019-01-01 14:00,2019-01-01 17:00,1069.227
2019-01-01 15:00,2019-01-01 18:00,0
2019-01-01 16:00,2019-01-01 19:00,0
2019-01-01 17:00,2019-01-01 20:00,0
2019-01-01 18:00,2019-01-01 21:00,0
2019-01-01 19:00,2019-01-01 22:00,0
2019-01-01 20:00,2019-01-01 23:00,0
2019-01-01 21:00,2019-01-02 00:00,0
2019-01-01 22:00,2019-01-02 01:00,0
2019-01-01 23:00,2019-01-02 02:00,0
2019-01-02 00:00,2019-01-02 03:00,0
2019-01-02 01:00,2019-01-02 04:00,0
2019-01-02 02:00,2019-01-02 05:00,0
2019-01-02 03:00,2019-01-02 06:00,22465.798
2019-01-02 04:00,2019-01-02 07:00,114679.052
2019-01-02 05:00,2019-01-02 08:00,180549.401
2019-01-02 06:00,2019-01-02 09:00,218951.794
2019-01-02 07:00,2019-01-02 10:00,240678.413
2019-01-02 08:00,2019-01-02 11:00,248976.181
2019-01-02 09:00,2019-01-02 12:00,244521.967
2019-01-02 10:00,2019-01-02 13:00,226690.545
2019-01-02 11:00,2019-01-02 14:00,194162.642
2019-01-02 12:00,2019-01-02 15:00,145642.328
2019-01-02 13:00,2019-01-02 16:00,76382.276
2019-01-02 14:00,2019-01-02 17:00,1076.976
2019-01-02 15:00,2019-01-02 18:00,0
2019-01-02 16:00,2019-01-02 19:00,0
2019-01-02 17:00,2019-01-02 20:00,0
2019-01-02 18:00,2019-01-02 21:00,0
2019-01-02 19:00,2019-01-02 22:00,0
2019-01-02 20:00,2019-01-02 23:00,0
2019-01-02 21:00,2019-01-03 00:00,0
2019-01-02 22:00,2019-01-03 01:00,0
2019-01-02 23:00,2019-01-03 02:00,0
2019-01-03 00:00,2019-01-03 03:00,0
2019-01-03 01:00,2019-01-03 04:00,0
2019-01-03 02:00,2019-01-03 05:00,0
2019-01-03 03:00,2019-01-03 06:00,15706.740
2019-01-03 04:00,2019-01-03 07:00,109119.117
2019-01-03 05:00,2019-01-03 08:00,180662.191
2019-01-03 06:00,2019-01-03 09:00,220270.844
2019-01-03 07:00,2019-01-03 10:00,242182.298
2019-01-03 08:00,2019-01-03 11:00,249660.720
2019-01-03 09:00,2019-01-03 12:00,244816.412
2019-01-03 10:00,2019-01-03 13:00,227465.294
2019-01-03 11:00,2019-01-03 14:00,195757.162
2019-01-03 12:00,2019-01-03 15:00,147167.440
2019-01-03 13:00,2019-01-03 16:00,77332.455
2019-01-03 14:00,2019-01-03 17:00,1071.094
2019-01-03 15:00,2019-01-03 18:00,0
2019-01-03 16:00,2019-01-03 19:00,0
2019-01-03 17:00,2019-01-03 20:00,0
2019-01-03 18:00,2019-01-03 21:00,0
2019-01-03 19:00,2019-01-03 22:00,0
2019-01-03 20:00,2019-01-03 23:00,0
2019-01-03 21:00,2019-01-04 00:00,0
2019-01-03 22:00,2019-01-04 01:00,0
2019-01-03 23:00,2019-01-04 02:00,0
2019-01-04 00:00,2019-01-04 03:00,0
2019-01-04 01:00,2019-01-04 04:00,0
2019-01-04 02:00,2019-01-04 05:00,0
2019-01-04 03:00,2019-01-04 06:00,22851.414
2019-01-04 04:00,2019-01-04 07:00,117151.841
2019-01-04 05:00,2019-01-04 08:00,178577.982
2019-01-04 06:00,2019-01-04 09:00,216168.310
2019-01-04 07:00,2019-01-04 10:00,238394.493
2019-01-04 08:00,2019-01-04 11:00,247314.871
2019-01-04 09:00,2019-01-04 12:00,243260.161
2019-01-04 10:00,2019-01-04 13:00,226169.523
2019-01-04 11:00,2019-01-04 14:00,194728.989
2019-01-04 12:00,2019-01-04 15:00,146111.147
2019-01-04 13:00,2019-01-04 16:00,76143.884
2019-01-04 14:00,2019-01-04 17:00,1031.345
2019-01-04 15:00,2019-01-04 18:00,0
2019-01-04 16:00,2019-01-04 19:00,0
2019-01-04 17:00,2019-01-04 20:00,0
2019-01-04 18:00,2019-01-04 21:00,0
2019-01-04 19:00,2019-01-04 22:00,0
2019-01-04 20:00,2019-01-04 23:00,0
2019-01-04 21:00,2019-01-05 00:00,0
2019-01-04 22:00,2019-01-05 01:00,0
2019-01-04 23:00,2019-01-05 02:00,0
2019-01-05 00:00,2019-01-05 03:00,0
2019-01-05 01:00,2019-01-05 04:00,0
2019-01-05 02:00,2019-01-05 05:00,0
2019-01-05 03:00,2019-01-05 06:00,21769.118
2019-01-05 04:00,2019-01-05 07:00,116518.374
